Timestamp, x, y, yaw
0. 0, -8.49997875609, 1.64843328842e-05, 3.313471351763344e-05
10. 429000000, -8.49997875031, 1.64900215214e-05, 3.315458648679864e-05
10. 439000000, -8.49997874697, 1.64938674788e-05, 3.317402028491275e-05
10. 451000000, -8.49997872603, 1.65098272423e-05, 3.319512466463765e-05
10. 461000000, -8.49997870722, 1.65243000968e-05, 3.321576572641738e-05
10. 471000000, -8.49997870144, 1.65299888309e-05, 3.323563851247277e-05
10. 482000000, -8.4999786981, 1.65338348853e-05, 3.3255072122977254e-05
10. 492000000, -8.49997867716, 1.65497945734e-05, 3.327617635711005e-05
10. 502000000, -8.49997865835, 1.65642673461e-05, 3.3296817268208344e-05
10. 512000000, -8.49997865257, 1.6569956177e-05, 3.331668987103096e-05
10. 522000000, -8.49997864923, 1.65738023284e-05, 3.33361232938841e-05
10. 533000000, -8.49997862829, 1.65897619411e-05, 3.3357227382060086e-05
10. 544000000, -8.49997860948, 1.66042346322e-05, 3.3377868142147474e-05
10. 554000000, -8.4999786037, 1.66099235598e-05, 3.3397740561733795e-05
10. 565000000, -8.49997860036, 1.66137698083e-05, 3.34171737968286e-05
10. 575000000, -8.49997857942, 1.66297293455e-05, 3.343827773870466e-05
10. 585000000, -8.49997856061, 1.66442019548e-05, 3.345891834739014e-05
10. 595000000, -8.49997855483, 1.66498909792e-05, 3.347879058376657e-05
10. 605000000, -8.49997855149, 1.66537373247e-05, 3.3498223631177504e-05
10. 615000000, -8.49997853055, 1.66696967865e-05, 3.351932742769528e-05
10. 625000000, -8.49997851174, 1.66841693142e-05, 3.3539967885944317e-05
10. 635000000, -8.49997850596, 1.66898584353e-05, 3.35598399397243e-05
10. 646000000, -8.49997850261, 1.66937048778e-05, 3.35792728000967e-05
10. 656000000, -8.49997848167, 1.67096642642e-05, 3.360037645129404e-05
10. 666000000, -8.49997846287, 1.67241367101e-05, 3.362101675916662e-05
10. 676000000, -8.49997845708, 1.67298259281e-05, 3.364088863028865e-05
10. 686000000, -8.49997845374, 1.67336724676e-05, 3.366032130347941e-05
10. 696000000, -8.4999784328, 1.67496317786e-05, 3.368142480924993e-05
