Timestamp, x, y, yaw
10. 173000000, -9.69998622265, 1.03792905886e-05, 2.0764977702328318e-05
10. 184000000, -9.6999862017, 1.03952618764e-05, 2.078610557335672e-05
10. 194000000, -9.69998618288, 1.04097472272e-05, 2.08067709057594e-05
10. 204000000, -9.69998617712, 1.04154211202e-05, 2.0826672911917526e-05
10. 214000000, -9.6999861738, 1.04192523022e-05, 2.0846136428690485e-05
10. 225000000, -9.69998615285, 1.04352235147e-05, 2.0867264138799668e-05
10. 235000000, -9.69998613403, 1.04497087839e-05, 2.0887929305164984e-05
10. 246000000, -9.69998612826, 1.04553827741e-05, 2.0907831112402558e-05
10. 256000000, -9.69998612494, 1.04592140535e-05, 2.0927294425773917e-05
10. 266000000, -9.699986104, 1.04751851907e-05, 2.0948421974859938e-05
10. 278000000, -9.69998608517, 1.04896703783e-05, 2.0969086975103293e-05
10. 288000000, -9.69998607941, 1.04953444657e-05, 2.0988988583643945e-05
10. 299000000, -9.69998607609, 1.04991758425e-05, 2.100845169383391e-05
10. 310000000, -9.69998605514, 1.05151469045e-05, 2.1029579082359136e-05
10. 320000000, -9.69998603632, 1.05296320104e-05, 2.1050243916936575e-05
10. 330000000, -9.69998603056, 1.05353061951e-05, 2.107014532736698e-05
10. 341000000, -9.69998602724, 1.05391376692e-05, 2.1089608234965375e-05
10. 351000000, -9.69998600629, 1.0555108656e-05, 2.1110735462881168e-05
10. 363000000, -9.69998598747, 1.05695936802e-05, 2.113140013174063e-05
10. 373000000, -9.69998598171, 1.05752679621e-05, 2.1151301343938336e-05
10. 383000000, -9.69998597839, 1.05790995336e-05, 2.1170764048779407e-05
10. 393000000, -9.69998595744, 1.05950704452e-05, 2.119189111588227e-05
10. 403000000, -9.69998593862, 1.06095553878e-05, 2.1212555618816397e-05
10. 413000000, -9.69998593286, 1.06152297669e-05, 2.123245663230423e-05
10. 423000000, -9.69998592954, 1.06190614357e-05, 2.1251919133920995e-05
10. 434000000, -9.69998590859, 1.06350322721e-05, 2.1273046040130815e-05
10. 444000000, -9.69998588977, 1.0649517133e-05, 2.1293710377051502e-05
10. 454000000, -9.69998588401, 1.06551916093e-05, 2.1313611192081196e-05
10. 465000000, -9.69998588069, 1.06590233755e-05, 2.133307349081654e-05
10. 475000000, -9.69998585974, 1.06749941366e-05, 2.1354200236533825e-05
10. 485000000, -9.69998584092, 1.06894789159e-05, 2.137486440787399e-05
10. 495000000, -9.69998583516, 1.06951534895e-05, 2.1394765025131937e-05
10. 505000000, -9.69998583184, 1.06989853531e-05, 2.1414227121606314e-05
10. 515000000, -9.69998581089, 1.07149560389e-05, 2.1435353707670677e-05
10. 525000000, -9.69998579207, 1.07294407366e-05, 2.145601771425078e-05
10. 535000000, -9.69998578631, 1.07351154073e-05, 2.1475918134039848e-05
10. 545000000, -9.69998578299, 1.07389473683e-05, 2.1495380028491586e-05
