Timestamp, x, y, yaw
10. 165000000, -8.79998911367, 8.01212313251e-06, 1.59359183492317e-05
10. 177000000, -8.79998910792, 8.01779118679e-06, 1.5955832457114294e-05
10. 187000000, -8.79998910461, 8.02161652164e-06, 1.597530834543341e-05
10. 197000000, -8.79998908365, 8.03759224598e-06, 1.5996445888734193e-05
10. 207000000, -8.79998906483, 8.05208241275e-06, 1.6017121194942102e-05
10. 218000000, -8.79998905908, 8.05775056443e-06, 1.6037035098515564e-05
10. 228000000, -8.79998905576, 8.06157599681e-06, 1.605651077803838e-05
10. 238000000, -8.79998903481, 8.077551646e-06, 1.6077648155141773e-05
10. 248000000, -8.79998901599, 8.09204173115e-06, 1.6098323290054714e-05
10. 258000000, -8.79998901023, 8.09770998024e-06, 1.611823698943109e-05
10. 268000000, -8.79998900692, 8.10153551014e-06, 1.6137712460269364e-05
10. 278000000, -8.79998898597, 8.11751108418e-06, 1.6158849670751953e-05
10. 288000000, -8.79998896714, 8.13200108772e-06, 1.6179524633916854e-05
10. 298000000, -8.79998896139, 8.1376694342e-06, 1.6199438129276262e-05
10. 308000000, -8.79998895808, 8.14149506162e-06, 1.6218913391569837e-05
10. 318000000, -8.79998893712, 8.1574705605e-06, 1.624005043588731e-05
10. 328000000, -8.7999889183, 8.17196048243e-06, 1.6260725227783985e-05
10. 338000000, -8.79998891255, 8.17762892631e-06, 1.6280638518896394e-05
10. 348000000, -8.79998890923, 8.18145465125e-06, 1.6300113572451475e-05
10. 358000000, -8.79998888828, 8.19743007495e-06, 1.632125045003432e-05
10. 368000000, -8.79998886946, 8.21191991527e-06, 1.6341925070085155e-05
10. 378000000, -8.7999888637, 8.21758845653e-06, 1.636183815658213e-05
10. 388000000, -8.79998886039, 8.22141427897e-06, 1.638131300103688e-05
10. 400000000, -8.79998883944, 8.2373896275e-06, 1.640244971217054e-05
10. 410000000, -8.79998882061, 8.25187938621e-06, 1.6423124160657672e-05
10. 421000000, -8.79998881486, 8.25754802485e-06, 1.6443037043088457e-05
10. 431000000, -8.79998881155, 8.2613739448e-06, 1.6462511678939175e-05
10. 441000000, -8.79998879059, 8.27734921817e-06, 1.648364822375782e-05
10. 451000000, -8.79998877177, 8.29183889525e-06, 1.650432250078819e-05
10. 461000000, -8.79998876602, 8.29750763127e-06, 1.6524235178892954e-05
10. 471000000, -8.7999887627, 8.30133364873e-06, 1.6543709605970667e-05
10. 481000000, -8.79998874175, 8.31730884692e-06, 1.6564845984456044e-05
10. 491000000, -8.79998872293, 8.33179844239e-06, 1.6585520090078234e-05
10. 501000000, -8.79998871717, 8.33746727579e-06, 1.660543256440924e-05
10. 511000000, -8.79998871386, 8.34129339075e-06, 1.6624906783183553e-05
10. 521000000, -8.79998869291, 8.35726851378e-06, 1.6646042996068182e-05
10. 532000000, -8.79998867408, 8.37175802764e-06, 1.666671693095943e-05
10. 542000000, -8.79998866833, 8.37742695842e-06, 1.6686629201775184e-05
10. 552000000, -8.79998866502, 8.38125317089e-06, 1.6706103212532087e-05
10. 563000000, -8.79998864406, 8.39722821875e-06, 1.672723925959065e-05
10. 573000000, -8.79998862524, 8.411717651e-06, 1.67479130235319e-05
10. 583000000, -8.79998861948, 8.41738667916e-06, 1.6767825090648443e-05
10. 594000000, -8.79998861617, 8.42121298913e-06, 1.678729889318103e-05
10. 604000000, -8.79998859522, 8.43718796182e-06, 1.6808434774541072e-05
10. 614000000, -8.79998857639, 8.45167731245e-06, 1.682910836766867e-05
10. 624000000, -8.79998857064, 8.45734643797e-06, 1.6849020231262186e-05
10. 635000000, -8.79998856733, 8.46117284544e-06, 1.6868493825811144e-05
10. 645000000, -8.79998854637, 8.47714774296e-06, 1.6889629541392988e-05
10. 655000000, -8.79998852755, 8.49163701196e-06, 1.6910302963640133e-05
10. 665000000, -8.7999885218, 8.49730623486e-06, 1.6930214624154294e-05
10. 675000000, -8.79998851848, 8.50113273983e-06, 1.6949688011119424e-05
10. 685000000, -8.79998849753, 8.51710756218e-06, 1.6970823561264976e-05
10. 695000000, -8.79998847871, 8.53159674957e-06, 1.6991496812990192e-05
10. 705000000, -8.79998847295, 8.53726606983e-06, 1.7011408269880512e-05
10. 715000000, -8.79998846964, 8.54109267229e-06, 1.7030881448711277e-05
10. 725000000, -8.79998844869, 8.55706741946e-06, 1.7052016833163978e-05
10. 735000000, -8.79998842986, 8.57155652524e-06, 1.707268991402151e-05
10. 745000000, -8.79998842411, 8.57722594286e-06, 1.7092601167223727e-05
10. 755000000, -8.79998842079, 8.5810526428e-06, 1.7112074137840267e-05
10. 765000000, -8.79998839984, 8.59702731479e-06, 1.7133209356048214e-05
10. 776000000, -8.79998838102, 8.61151633893e-06, 1.7153882265553475e-05
10. 786000000, -8.79998837526, 8.6171858539e-06, 1.717379331484618e-05
10. 797000000, -8.79998837195, 8.62101265132e-06, 1.7193266077039883e-05
