Timestamp, x, y, yaw
10. 156000000, -9.09998216759, 1.36962405831e-05, 2.7498708162856992e-05
10. 166000000, -9.09998214665, 1.37122056226e-05, 2.751982300489543e-05
10. 176000000, -9.09998212783, 1.37266841957e-05, 2.7540474885094817e-05
10. 186000000, -9.09998212206, 1.37323661483e-05, 2.7560360747062844e-05
10. 196000000, -9.09998211873, 1.3736205405e-05, 2.7579807747102303e-05
10. 206000000, -9.09998209779, 1.37521703692e-05, 2.7600922436692087e-05
10. 216000000, -9.09998207897, 1.37666488606e-05, 2.7621574159321302e-05
10. 226000000, -9.0999820732, 1.37723309102e-05, 2.7641459831293063e-05
10. 236000000, -9.09998206987, 1.37761702641e-05, 2.7660906636863894e-05
10. 246000000, -9.09998204893, 1.37921351529e-05, 2.7682021173636822e-05
10. 256000000, -9.09998203011, 1.38066135627e-05, 2.770267273836321e-05
10. 266000000, -9.09998202434, 1.38122957092e-05, 2.772255821979022e-05
10. 277000000, -9.09998202101, 1.38161351604e-05, 2.774200483034452e-05
10. 287000000, -9.09998200006, 1.38320999738e-05, 2.7763119214302257e-05
10. 297000000, -9.09998198125, 1.38465783019e-05, 2.7783770621089403e-05
10. 307000000, -9.09998197548, 1.38522605454e-05, 2.78036559123621e-05
10. 317000000, -9.09998197215, 1.38561000937e-05, 2.7823102328227978e-05
10. 327000000, -9.0999819512, 1.38720648318e-05, 2.784421655902964e-05
10. 337000000, -9.09998193239, 1.38865430782e-05, 2.786486780758546e-05
10. 347000000, -9.09998192662, 1.38922254187e-05, 2.7884752908548176e-05
10. 358000000, -9.09998192328, 1.38960650642e-05, 2.790419912962322e-05
10. 368000000, -9.09998190234, 1.3912029727e-05, 2.7925313207926413e-05
10. 378000000, -9.09998188353, 1.39265078917e-05, 2.7945964298897708e-05
10. 388000000, -9.09998187775, 1.39321903291e-05, 2.796584920964867e-05
10. 399000000, -9.09998187442, 1.39360300718e-05, 2.7985295236041798e-05
10. 409000000, -9.09998185348, 1.39519946592e-05, 2.8006409161875617e-05
10. 419000000, -9.09998183466, 1.39664727422e-05, 2.8027060095311873e-05
10. 429000000, -9.09998182889, 1.39721552766e-05, 2.8046944816501663e-05
10. 439000000, -9.09998182556, 1.39759951165e-05, 2.806639064884441e-05
10. 449000000, -9.09998180462, 1.39919596286e-05, 2.8087504422414032e-05
10. 459000000, -9.0999817858, 1.40064376299e-05, 2.8108155198483984e-05
10. 469000000, -9.09998178003, 1.40121202613e-05, 2.8128039729803475e-05
10. 479000000, -9.0999817767, 1.40159601983e-05, 2.8147485367823993e-05
10. 489000000, -9.09998175575, 1.40319246351e-05, 2.8168598989311963e-05
10. 500000000, -9.09998173694, 1.40464025548e-05, 2.8189249608195265e-05
10. 510000000, -9.09998173117, 1.40520852831e-05, 2.8209133950079578e-05
10. 520000000, -9.09998172783, 1.40559253173e-05, 2.8228579394150155e-05
10. 530000000, -9.09998170689, 1.40718896787e-05, 2.8249692863443753e-05
10. 540000000, -9.09998168808, 1.40863675167e-05, 2.8270343325033054e-05
10. 550000000, -9.0999816823, 1.4092050342e-05, 2.8290227477303096e-05
10. 560000000, -9.09998167897, 1.40958904734e-05, 2.830967272727821e-05
10. 570000000, -9.09998165803, 1.41118547595e-05, 2.8330786044738188e-05
10. 580000000, -9.09998163921, 1.41263325157e-05, 2.8351436349408456e-05
10. 590000000, -9.09998163344, 1.4132015438e-05, 2.8371320312432763e-05
10. 600000000, -9.09998163011, 1.41358556665e-05, 2.8390765368697033e-05
10. 610000000, -9.09998160916, 1.41518198773e-05, 2.841187853430571e-05
10. 620000000, -9.09998159035, 1.41662975519e-05, 2.8432528682051227e-05
10. 630000000, -9.09998158458, 1.41719805711e-05, 2.8452412456139136e-05
10. 640000000, -9.09998158125, 1.41758208968e-05, 2.8471857318978557e-05
10. 650000000, -9.0999815603, 1.41917850322e-05, 2.8492970333516954e-05
10. 660000000, -9.09998154149, 1.42062626251e-05, 2.851362032510897e-05
10. 670000000, -9.09998153572, 1.42119457413e-05, 2.8533503910636555e-05
10. 681000000, -9.09998153238, 1.42157861642e-05, 2.855294858039665e-05
10. 691000000, -9.09998151144, 1.42317502243e-05, 2.857406144321939e-05
10. 701000000, -9.09998149263, 1.42462277355e-05, 2.859471127799932e-05
10. 711000000, -9.09998148685, 1.42519109486e-05, 2.8614594673673e-05
