Timestamp, x, y, yaw
10. 466000000, -9.69998090048, 1.47314963251e-05, 2.9587630015181554e-05
10. 476000000, -9.69998089715, 1.47353380109e-05, 2.9607072175606e-05
10. 486000000, -9.69998087621, 1.47513010913e-05, 2.9628183075027528e-05
10. 496000000, -9.69998085739, 1.47657775406e-05, 2.964883088021761e-05
10. 506000000, -9.69998085162, 1.47714620137e-05, 2.9668711827253874e-05
10. 516000000, -9.69998084829, 1.47753037967e-05, 2.968815379578409e-05
10. 526000000, -9.69998082734, 1.47912668018e-05, 2.970926454492974e-05
10. 536000000, -9.69998080853, 1.48057431694e-05, 2.972991219476316e-05
10. 546000000, -9.69998080275, 1.48114277394e-05, 2.974979295421459e-05
10. 556000000, -9.69998079942, 1.48152696195e-05, 2.976923473070392e-05
10. 566000000, -9.69998077848, 1.48312325492e-05, 2.979034532994939e-05
10. 577000000, -9.69998075967, 1.48457088351e-05, 2.981099282478589e-05
10. 588000000, -9.69998075389, 1.4851393502e-05, 2.9830873396712813e-05
10. 598000000, -9.69998075055, 1.48552354792e-05, 2.9850314981176745e-05
10. 609000000, -9.69998072961, 1.48711983336e-05, 2.9871425429952262e-05
10. 621000000, -9.6999807108, 1.48856745378e-05, 2.989207276925472e-05
10. 631000000, -9.69998070502, 1.48913593016e-05, 2.9911953153301924e-05
10. 641000000, -9.69998070169, 1.48952013759e-05, 2.9931394545448187e-05
10. 651000000, -9.69998068075, 1.4911164155e-05, 2.9952504844029036e-05
10. 661000000, -9.69998066193, 1.49256402775e-05, 2.9973152028020285e-05
10. 671000000, -9.69998065616, 1.49313251382e-05, 2.9993032224718678e-05
10. 681000000, -9.69998065282, 1.49351673096e-05, 3.0012473425025226e-05
10. 691000000, -9.69998063188, 1.49511300133e-05, 3.0033583574282528e-05
10. 701000000, -9.69998061307, 1.49656060541e-05, 3.0054230603860826e-05
10. 711000000, -9.69998060729, 1.49712910117e-05, 3.0074110613422153e-05
10. 721000000, -9.69998060396, 1.49751332803e-05, 3.0093551622083116e-05
10. 731000000, -9.69998058302, 1.49910959086e-05, 3.0114661621036834e-05
10. 741000000, -9.6999805642, 1.50055718677e-05, 3.013530849524246e-05
10. 751000000, -9.69998055843, 1.50112569222e-05, 3.0155188317527745e-05
10. 761000000, -9.69998055509, 1.50150992878e-05, 3.0174629134451454e-05
10. 771000000, -9.69998053415, 1.50310618408e-05, 3.0195738983651532e-05
10. 781000000, -9.69998051534, 1.50455377182e-05, 3.0216385703062666e-05
10. 792000000, -9.69998050956, 1.50512228696e-05, 3.023626533857024e-05
10. 803000000, -9.69998050623, 1.50550653324e-05, 3.025570596425101e-05
10. 814000000, -9.69998048528, 1.50710278099e-05, 3.0276815663960656e-05
10. 824000000, -9.69998046647, 1.50855036057e-05, 3.0297462228755158e-05
10. 834000000, -9.6999804607, 1.50911888539e-05, 3.0317341677267945e-05
10. 844000000, -9.69998045736, 1.50950314138e-05, 3.033678211145731e-05
