Timestamp, x, y, yaw
10. 456000000, -9.39998035963, 1.51749636879e-05, 3.0498932388411963e-05
10. 466000000, -9.39998033869, 1.51909259393e-05, 3.052004163974522e-05
10. 476000000, -9.39998031987, 1.520540149e-05, 3.05406877409079e-05
10. 486000000, -9.3999803141, 1.52110870289e-05, 3.056056662872962e-05
10. 496000000, -9.39998031076, 1.52149298801e-05, 3.058000648879393e-05
10. 506000000, -9.39998028982, 1.52308920561e-05, 3.0601115590559335e-05
10. 516000000, -9.39998027101, 1.52453675251e-05, 3.062176153706585e-05
10. 526000000, -9.39998026523, 1.52510531609e-05, 3.064164023843078e-05
10. 536000000, -9.3999802619, 1.52548961092e-05, 3.0661079907540156e-05
10. 546000000, -9.39998024095, 1.52708582099e-05, 3.0682188860423816e-05
10. 556000000, -9.39998022214, 1.52853335971e-05, 3.070283465295115e-05
10. 567000000, -9.39998021637, 1.52910193297e-05, 3.072271316793437e-05
10. 577000000, -9.39998021303, 1.52948623752e-05, 3.074215264620414e-05
10. 588000000, -9.39998019209, 1.53108244005e-05, 3.076326145016447e-05
10. 598000000, -9.39998017328, 1.53252997061e-05, 3.078390708868391e-05
10. 608000000, -9.3999801675, 1.53309855356e-05, 3.0803785417744734e-05
10. 618000000, -9.39998016416, 1.53348286781e-05, 3.082322470557186e-05
10. 628000000, -9.39998014322, 1.5350790628e-05, 3.084433336124339e-05
10. 638000000, -9.39998012441, 1.53652658519e-05, 3.086497884634279e-05
10. 648000000, -9.39998011863, 1.53709517783e-05, 3.088485698937374e-05
10. 658000000, -9.3999801153, 1.53747950179e-05, 3.0904296086704194e-05
10. 668000000, -9.39998009435, 1.53907568925e-05, 3.09254045935392e-05
10. 678000000, -9.39998007554, 1.54052320347e-05, 3.094604992474908e-05
10. 688000000, -9.39998006977, 1.54109180579e-05, 3.0965927881536484e-05
10. 698000000, -9.39998006643, 1.54147613946e-05, 3.098536678813138e-05
10. 708000000, -9.39998004549, 1.54307231938e-05, 3.1006475145771104e-05
10. 718000000, -9.39998002668, 1.54451982543e-05, 3.102712032269283e-05
10. 728000000, -9.3999800209, 1.54508843743e-05, 3.104699809310201e-05
10. 738000000, -9.39998001756, 1.54547278081e-05, 3.106643680886804e-05
10. 748000000, -9.39997999662, 1.54706895319e-05, 3.1087545017838446e-05
10. 758000000, -9.39997997781, 1.54851645107e-05, 3.110819004101857e-05
10. 768000000, -9.39997997203, 1.54908507276e-05, 3.112806762537012e-05
10. 779000000, -9.39997996869, 1.54946942585e-05, 3.114750615058811e-05
10. 789000000, -9.39997994775, 1.55106559069e-05, 3.116861421102326e-05
10. 799000000, -9.39997992894, 1.5525130804e-05, 3.1189259080587966e-05
10. 809000000, -9.39997992316, 1.55308171178e-05, 3.120913647933275e-05
10. 819000000, -9.39997991983, 1.55346607458e-05, 3.122857481447744e-05
10. 830000000, -9.39997989888, 1.55506223188e-05, 3.124968272672647e-05
10. 840000000, -9.39997988007, 1.55650971342e-05, 3.127032744304086e-05
10. 850000000, -9.3999798743, 1.55707835448e-05, 3.1290204656248356e-05
10. 860000000, -9.39997987096, 1.55746272699e-05, 3.130964280138133e-05
10. 870000000, -9.39997985002, 1.55905887675e-05, 3.133075056575373e-05
10. 880000000, -9.39997983121, 1.56050635013e-05, 3.135139512909567e-05
10. 891000000, -9.39997982543, 1.56107500087e-05, 3.137127215715329e-05
10. 901000000, -9.39997982209, 1.56145938309e-05, 3.1390710112647994e-05
10. 911000000, -9.39997980115, 1.56305552531e-05, 3.141181772868987e-05
10. 921000000, -9.39997978234, 1.56450299052e-05, 3.143246213860645e-05
10. 932000000, -9.39997977656, 1.56507165094e-05, 3.145233898063323e-05
10. 942000000, -9.39997977322, 1.56545604287e-05, 3.147177674561516e-05
10. 952000000, -9.39997975228, 1.56705217756e-05, 3.149288421326397e-05
10. 962000000, -9.39997973347, 1.56849963459e-05, 3.151352846969337e-05
10. 972000000, -9.39997972769, 1.5690683047e-05, 3.153340512612718e-05
10. 982000000, -9.39997972436, 1.56945270633e-05, 3.15528427010289e-05
10. 993000000, -9.39997970341, 1.57104883348e-05, 3.1573950020852524e-05
11. 3000000, -9.3999796846, 1.57249628234e-05, 3.1594594124365884e-05
11. 13000000, -9.39997967883, 1.57306496214e-05, 3.161447059602928e-05
11. 23000000, -9.39997967549, 1.57344937348e-05, 3.163390798170058e-05
11. 33000000, -9.39997965455, 1.57504549309e-05, 3.1655015153927254e-05
11. 43000000, -9.39997963574, 1.57649293378e-05, 3.167565910476195e-05
11. 53000000, -9.39997962996, 1.57706162326e-05, 3.169553539094405e-05
11. 63000000, -9.39997962662, 1.57744604431e-05, 3.171497258665083e-05
11. 73000000, -9.39997960568, 1.57904215638e-05, 3.1736079610611305e-05
11. 83000000, -9.39997958687, 1.5804895889e-05, 3.1756723408110737e-05
11. 94000000, -9.39997958109, 1.58105828806e-05, 3.17765995087616e-05
11. 104000000, -9.39997957775, 1.58144271881e-05, 3.179603651446528e-05
11. 115000000, -9.39997955681, 1.58303882335e-05, 3.1817143390516675e-05
11. 125000000, -9.399979538, 1.5844862477e-05, 3.18377870350142e-05
11. 135000000, -9.39997953222, 1.58505495654e-05, 3.185766295034239e-05
11. 145000000, -9.39997952888, 1.585439397e-05, 3.187709976625068e-05
11. 155000000, -9.39997950794, 1.58703549399e-05, 3.189820649435031e-05
11. 165000000, -9.39997948913, 1.58848291017e-05, 3.1918849985778676e-05
11. 175000000, -9.39997948335, 1.5890516287e-05, 3.19387257160187e-05
11. 185000000, -9.39997948001, 1.58943607886e-05, 3.195816234235466e-05
11. 195000000, -9.39997945907, 1.59103216832e-05, 3.197926892247938e-05
11. 205000000, -9.39997944026, 1.59247957632e-05, 3.199991226090359e-05
11. 215000000, -9.39997943448, 1.59304830453e-05, 3.2019787805995515e-05
11. 225000000, -9.39997943114, 1.59343276441e-05, 3.203922424273904e-05
11. 235000000, -9.3999794102, 1.59502884632e-05, 3.2060330675462755e-05
11. 245000000, -9.39997939139, 1.59647624616e-05, 3.208097386140114e-05
11. 255000000, -9.39997938561, 1.59704498405e-05, 3.2100849222156295e-05
11. 265000000, -9.39997938228, 1.59742945363e-05, 3.212028547005176e-05
11. 275000000, -9.39997936134, 1.599025528e-05, 3.214139175562931e-05
11. 285000000, -9.39997934253, 1.60047291967e-05, 3.216203478931844e-05
11. 295000000, -9.39997933675, 1.60104166724e-05, 3.218190996582956e-05
11. 305000000, -9.39997933341, 1.60142614652e-05, 3.2201346024999675e-05
11. 315000000, -9.39997931247, 1.60302221336e-05, 3.222245216366759e-05
11. 325000000, -9.39997929366, 1.60446959685e-05, 3.224309504535039e-05
11. 335000000, -9.39997928788, 1.60503835411e-05, 3.226297003738216e-05
11. 345000000, -9.39997928454, 1.6054228431e-05, 3.2282405907628154e-05
11. 355000000, -9.3999792636, 1.60701890239e-05, 3.2303511899571775e-05
11. 365000000, -9.39997924479, 1.60846627772e-05, 3.232415462946052e-05
11. 375000000, -9.39997923901, 1.60903504466e-05, 3.234402943751576e-05
11. 385000000, -9.39997923567, 1.60941954336e-05, 3.236346511928419e-05
11. 396000000, -9.39997921473, 1.61101559511e-05, 3.2384570964060984e-05
11. 407000000, -9.39997919592, 1.61246296227e-05, 3.24052135416871e-05
11. 417000000, -9.39997919014, 1.61303173888e-05, 3.242508816493672e-05
11. 427000000, -9.3999791868, 1.61341624729e-05, 3.244452365743483e-05
11. 437000000, -9.39997916586, 1.6150122915e-05, 3.246562935522135e-05
11. 447000000, -9.39997914705, 1.61645965049e-05, 3.248627178075622e-05
11. 457000000, -9.39997914127, 1.61702843678e-05, 3.25061462197559e-05
11. 467000000, -9.39997913793, 1.61741295489e-05, 3.252558152354018e-05
11. 478000000, -9.39997911699, 1.61900899156e-05, 3.2546687074390156e-05
11. 489000000, -9.39997909818, 1.62045634238e-05, 3.25673293479669e-05
11. 499000000, -9.3999790924, 1.62102513835e-05, 3.258720360340467e-05
11. 509000000, -9.39997908906, 1.62140966617e-05, 3.260663871908716e-05
11. 520000000, -9.39997906812, 1.6230056953e-05, 3.262774412338538e-05
11. 530000000, -9.39997904931, 1.62445303795e-05, 3.264838624528315e-05
11. 540000000, -9.39997904353, 1.6250218436e-05, 3.266826031675167e-05
11. 550000000, -9.39997904019, 1.62540638112e-05, 3.2687695244030465e-05
11. 560000000, -9.39997901925, 1.62700240271e-05, 3.270880050189046e-05
11. 570000000, -9.39997900044, 1.62844973719e-05, 3.272944247227744e-05
11. 580000000, -9.39997899466, 1.62901855252e-05, 3.2749316359452043e-05
11. 590000000, -9.39997899132, 1.62940309974e-05, 3.276875109796487e-05
11. 600000000, -9.39997897038, 1.6309991138e-05, 3.2789856208693654e-05
11. 610000000, -9.39997895157, 1.6324464401e-05, 3.281049802690029e-05
11. 620000000, -9.39997894579, 1.63301526511e-05, 3.283037173034465e-05
11. 630000000, -9.39997894245, 1.63339982204e-05, 3.28498062806051e-05
11. 640000000, -9.39997892151, 1.63499582855e-05, 3.2870911245178756e-05
