Timestamp, x, y, yaw
10. 466000000, -9.09997591225, 1.88120374668e-05, 3.787393517669824e-05
10. 477000000, -9.09997589132, 1.88279928543e-05, 3.789503125329023e-05
10. 487000000, -9.09997587251, 1.88424609688e-05, 3.7915663717494104e-05
10. 497000000, -9.09997586672, 1.88481553109e-05, 3.7935526044065074e-05
10. 507000000, -9.09997586337, 1.88520069891e-05, 3.795494893567296e-05
10. 517000000, -9.09997584244, 1.88679623011e-05, 3.7976044871844884e-05
10. 527000000, -9.09997582363, 1.88824303339e-05, 3.7996677190554345e-05
10. 537000000, -9.09997581784, 1.88881247726e-05, 3.801653933993812e-05
10. 547000000, -9.0999758145, 1.88919765476e-05, 3.8035962049863714e-05
10. 557000000, -9.09997579356, 1.89079317841e-05, 3.80570578462046e-05
10. 567000000, -9.09997577475, 1.89223997352e-05, 3.807769002001173e-05
10. 577000000, -9.09997576897, 1.89280942705e-05, 3.80975519925221e-05
10. 587000000, -9.09997576562, 1.89319461424e-05, 3.811697452114426e-05
10. 597000000, -9.09997574468, 1.89479013035e-05, 3.813807017782669e-05
10. 607000000, -9.09997572588, 1.89623691728e-05, 3.8158702206884236e-05
10. 617000000, -9.09997572009, 1.89680638047e-05, 3.817856400223412e-05
10. 627000000, -9.09997571674, 1.89719157735e-05, 3.819798634921643e-05
10. 637000000, -9.0999756958, 1.89878708591e-05, 3.82190818660748e-05
10. 648000000, -9.099975677, 1.90023386467e-05, 3.8239713750277466e-05
10. 658000000, -9.09997567121, 1.90080333752e-05, 3.825957536896146e-05
10. 669000000, -9.09997566786, 1.90118854409e-05, 3.827899753483802e-05
10. 679000000, -9.09997564692, 1.9027840451e-05, 3.83000929117376e-05
10. 690000000, -9.09997562812, 1.90423081568e-05, 3.832072465091094e-05
10. 700000000, -9.09997562233, 1.90480029819e-05, 3.8340586092524165e-05
10. 710000000, -9.09997561898, 1.90518551445e-05, 3.836000807682358e-05
10. 720000000, -9.09997559804, 1.90678100791e-05, 3.8381103313956386e-05
10. 730000000, -9.09997557924, 1.90822777032e-05, 3.8401734908289484e-05
10. 740000000, -9.09997557345, 1.90879726249e-05, 3.842159617308039e-05
10. 750000000, -9.0999755701, 1.90918248844e-05, 3.8441017976087815e-05
10. 760000000, -9.09997554917, 1.91077797435e-05, 3.846211307373061e-05
10. 771000000, -9.09997553036, 1.91222472858e-05, 3.848274452346907e-05
10. 781000000, -9.09997552457, 1.91279423041e-05, 3.850260561121703e-05
10. 791000000, -9.09997552122, 1.91317946605e-05, 3.852202723269996e-05
10. 801000000, -9.09997550029, 1.91477494441e-05, 3.854312219031228e-05
10. 811000000, -9.09997548148, 1.91622169047e-05, 3.856375349495632e-05
10. 821000000, -9.09997547569, 1.91679120195e-05, 3.858361440605683e-05
10. 832000000, -9.09997547234, 1.91717644728e-05, 3.860303584640294e-05
10. 842000000, -9.09997545141, 1.91877191809e-05, 3.8624130664927034e-05
10. 852000000, -9.0999754326, 1.92021865598e-05, 3.8644761825404096e-05
10. 862000000, -9.09997542681, 1.92078817712e-05, 3.8664622560192324e-05
10. 872000000, -9.09997542346, 1.92117343213e-05, 3.868404381979351e-05
10. 882000000, -9.09997540253, 1.92276889539e-05, 3.870513849915229e-05
10. 892000000, -9.09997538372, 1.92421562511e-05, 3.8725769515409245e-05
